id,Actor1,Actor2,Actor3,Director_Name,original_title,genres_list,Comb
25435,David Hewlett,Aaron Ashmore,Kevin Duhaney,William Phillips,Treed Murray,Thriller,David Hewlett Aaron Ashmore Kevin Duhaney William Phillips Thriller
25438,Marc Price,Tony Fields,Lisa Orgolini,Charles Martin Smith,Trick or Treat,Horror Music,Marc Price Tony Fields Lisa Orgolini Charles Martin Smith Horror Music
25440,Mia Farrow,Jim Broadbent,Natasha Richardson,John Irvin,Widows' Peak,Comedy Thriller Mystery Romance Foreign,Mia Farrow Jim Broadbent Natasha Richardson John Irvin Comedy Thriller Mystery Romance Foreign
25441,Dick Van Dyke,Edward G. Robinson,Dorothy Provine,Jerry Paris,Never a Dull Moment,Action Comedy Family,Dick Van Dyke Edward G. Robinson Dorothy Provine Jerry Paris Action Comedy Family
25445,Fred MacMurray,Tommy Steele,Greer Garson,Norman Tokar,The Happiest Millionaire,Comedy Drama Family Music,Fred MacMurray Tommy Steele Greer Garson Norman Tokar Comedy Drama Family Music
25447,John Cusack,Tim Robbins,Mary Crosby,Bill Fishman,Tapeheads,Comedy Drama,John Cusack Tim Robbins Mary Crosby Bill Fishman Comedy Drama
25450,Efren Ramirez,Katrina Bowden,Curtis Armstrong,Savage Steve Holland Kevin Speckmaier,Ratko: The Dictator's Son,Comedy,Efren Ramirez Katrina Bowden Curtis Armstrong Savage Steve Holland Kevin Speckmaier Comedy
25451,Justin Long,Emmanuelle Chriqui,Rob Corddry,Talmage Cooley,Taking Chances,Comedy Romance,Justin Long Emmanuelle Chriqui Rob Corddry Talmage Cooley Comedy Romance
25460,Connie Nielsen,Aidan Quinn,Kelly Preston,Bille August,Return to Sender,Drama,Connie Nielsen Aidan Quinn Kelly Preston Bille August Drama
25461,Victor Rasuk,Judy Marte,Melonie Diaz,Peter Sollett,Raising Victor Vargas,Drama Romance,Victor Rasuk Judy Marte Melonie Diaz Peter Sollett Drama Romance
25462,Vivica A. Fox,Моррис Честнат,Anthony Anderson,Mark Brown,Two Can Play That Game,Comedy Romance,Vivica A. Fox Моррис Честнат Anthony Anderson Mark Brown Comedy Romance
25466,Antonio Resines,Alex Angulo,Frédérique Feder,Álex de la Iglesia,Acción mutante,Action Comedy Sci-Fi,Antonio Resines Alex Angulo Frédérique Feder Álex de la Iglesia Action Comedy Sci-Fi
25467,50 Cent,Clifton Powell,Ira Berkowitz,50 Cent,Before I Self Destruct,Action Drama,50 Cent Clifton Powell Ira Berkowitz 50 Cent Action Drama
25468,Wallace Shawn,Andre Gregory,Jean Lenauer,Louis Malle,My Dinner with André,Comedy Drama,Wallace Shawn Andre Gregory Jean Lenauer Louis Malle Comedy Drama
25471,Zhu Xu,Chow Yam-Ying,Chiu Liu-Kong,Wu Tian-Ming,变脸,Drama,Zhu Xu Chow Yam-Ying Chiu Liu-Kong Wu Tian-Ming Drama
25472,Cedric the Entertainer,Andy Richter,Carl Reiner,David Soren,Merry Madagascar,Family Animation,Cedric the Entertainer Andy Richter Carl Reiner David Soren Family Animation
25473,Joe Don Baker,Elizabeth Hartman,Gene Evans,Phil Karlson,Walking Tall,Action Crime Drama,Joe Don Baker Elizabeth Hartman Gene Evans Phil Karlson Action Crime Drama
25474,Louis Koo,Richie Ren,Michelle Ye Xuan,Soi Cheang,Yi ngoi,Action Drama Thriller,Louis Koo Richie Ren Michelle Ye Xuan Soi Cheang Action Drama Thriller
25475,Mae Whitman,Jesse McCartney,Jane Horrocks,Klay Hall,Tinker Bell and the Lost Treasure,Animation Family Adventure Fantasy,Mae Whitman Jesse McCartney Jane Horrocks Klay Hall Animation Family Adventure Fantasy
25476,Ray Winstone,Mick Ford,Julian Firth,Alan Clarke,Scum,Crime Drama,Ray Winstone Mick Ford Julian Firth Alan Clarke Crime Drama
25482,Eduardo Noriega,Flora Martínez,Belén Fabra,Vicente Aranda,Canciones de amor en Lolita's Club,Drama,Eduardo Noriega Flora Martínez Belén Fabra Vicente Aranda Drama
25495,Alec Guinness,Burl Ives,Maureen O'Hara,Carol Reed,Our Man in Havana,Drama Action Comedy Thriller,Alec Guinness Burl Ives Maureen O'Hara Carol Reed Drama Action Comedy Thriller
25497,Melanie Griffith,Tommy Lee Jones,Sting,Mike Figgis,Stormy Monday,Romance Crime Drama,Melanie Griffith Tommy Lee Jones Sting Mike Figgis Romance Crime Drama
25499,Naseeruddin Shah,Satish Shah,Om Puri,Kundan Shah,जाने भी दो यारों,Comedy,Naseeruddin Shah Satish Shah Om Puri Kundan Shah Comedy
25500,Jean-Pierre Darroussin,Carole Bouquet,Vincent Deniard,Cédric Kahn,Feux rouges,Thriller Mystery Crime,Jean-Pierre Darroussin Carole Bouquet Vincent Deniard Cédric Kahn Thriller Mystery Crime
25501,Jason Patric,Rocky Giordani,Rachel Ward,James Foley,"After Dark, My Sweet",Crime Drama Mystery,Jason Patric Rocky Giordani Rachel Ward James Foley Crime Drama Mystery
25502,Bette Davis,Paul Henreid,Claude Rains,Irving Rapper,Deception,Drama Romance,Bette Davis Paul Henreid Claude Rains Irving Rapper Drama Romance
25503,Brian Donlevy,Ella Raines,Charles Coburn,Arthur Lubin,Impact,Drama Thriller Mystery,Brian Donlevy Ella Raines Charles Coburn Arthur Lubin Drama Thriller Mystery
25504,Peter Breck,Constance Towers,Gene Evans,Samuel Fuller,Shock Corridor,Drama Mystery Thriller,Peter Breck Constance Towers Gene Evans Samuel Fuller Drama Mystery Thriller
25506,John Payne,Rhonda Fleming,Arlene Dahl,Allan Dwan,Slightly Scarlet,Action Thriller Crime Documentary,John Payne Rhonda Fleming Arlene Dahl Allan Dwan Action Thriller Crime Documentary
25507,Robert Sterling,Charles Winninger,Donna Reed,Edward Buzzell,The Get-Away,Crime,Robert Sterling Charles Winninger Donna Reed Edward Buzzell Crime
25508,Simone Simon,Kent Smith,Tom Conway,Jacques Tourneur,Cat People,Thriller Drama Horror,Simone Simon Kent Smith Tom Conway Jacques Tourneur Thriller Drama Horror
25509,Robert Taylor,Ava Gardner,Charles Laughton,Robert Z. Leonard,The Bribe,Crime Drama,Robert Taylor Ava Gardner Charles Laughton Robert Z. Leonard Crime Drama
25510,Emraan Hashmi,Sonal Chauhan,Javed Sheikh,Kunal Deshmukh,Jannat,Crime Drama Foreign Romance,Emraan Hashmi Sonal Chauhan Javed Sheikh Kunal Deshmukh Crime Drama Foreign Romance
25512,Mathieu Demy,Virginie Ledoyen,Jacques Bonnaffé,Olivier Ducastel Jacques Martineau,Jeanne et le garçon formidable,Drama,Mathieu Demy Virginie Ledoyen Jacques Bonnaffé Olivier Ducastel Jacques Martineau Drama
25516,Preity Zinta,Rekha,Hrithik Roshan,Rakesh Roshan,कोई मिल गया,Drama Action Sci-Fi Romance Foreign,Preity Zinta Rekha Hrithik Roshan Rakesh Roshan Drama Action Sci-Fi Romance Foreign
25517,Boris Kodjoe,Nona Gaye,Idris Elba,Rob Hardy,The Gospel,Drama Music,Boris Kodjoe Nona Gaye Idris Elba Rob Hardy Drama Music
25518,Coline Serreau,Vincent Lindon,James Thiérrée,Coline Serreau,La Belle verte,Comedy,Coline Serreau Vincent Lindon James Thiérrée Coline Serreau Comedy
25519,Shah Rukh Khan,Amrish Puri,Mahima Chaudhry,Subhash Ghai,Pardes,Drama Romance,Shah Rukh Khan Amrish Puri Mahima Chaudhry Subhash Ghai Drama Romance
25520,Gillian Anderson,Dan Aykroyd,Eleanor Bron,Terence Davies,The House of Mirth,Drama Romance,Gillian Anderson Dan Aykroyd Eleanor Bron Terence Davies Drama Romance
25525,Kerrigan Mahan,Michael McConnohie,Edie Mirman,Yoshiaki Kawajiri Kazuyuki Hirokawa,SF Shinseiki Lensman,Animation Action Sci-Fi,Kerrigan Mahan Michael McConnohie Edie Mirman Yoshiaki Kawajiri Kazuyuki Hirokawa Animation Action Sci-Fi
25527,Matthew Perry,Judith Buchan,Griffin Cork,Randa Haines,The Ron Clark Story,TV Movie Drama,Matthew Perry Judith Buchan Griffin Cork Randa Haines TV Movie Drama
25528,Michael Dudikoff,David Bradley,James Booth,Cedric Sundstrom,American Ninja 4: The Annihilation,Action Thriller,Michael Dudikoff David Bradley James Booth Cedric Sundstrom Action Thriller
25530,Aleksey Anisimov,Viktoriya Ilyinskaya,Viktor Kotov,Aleksey Fedorchenko,First On the Moon,Mystery Sci-Fi,Aleksey Anisimov Viktoriya Ilyinskaya Viktor Kotov Aleksey Fedorchenko Mystery Sci-Fi
25532,Rodrigo de la Serna,Pablo Echarri,Nazareno Casero,Adrián Caetano,Crónica de una fuga,Crime Foreign Thriller,Rodrigo de la Serna Pablo Echarri Nazareno Casero Adrián Caetano Crime Foreign Thriller
25536,Simon Yam,Lam Suet,Ruby Wong,Johnnie To,PTU,Crime Drama Action,Simon Yam Lam Suet Ruby Wong Johnnie To Crime Drama Action
25538,Wu Nien-Jen,Elaine Jin,Issei Ogata,Edward Yang,一一,Drama Romance,Wu Nien-Jen Elaine Jin Issei Ogata Edward Yang Drama Romance
25539,Sammo Hung,Richard Ng,Stanley Fung,Sammo Hung,奇謀妙計五福星,Action Adventure Comedy Crime,Sammo Hung Richard Ng Stanley Fung Sammo Hung Action Adventure Comedy Crime
25541,Nicolas Bro,David Dencik,Claus Flygare,Nicolo Donato,Broderskab,Drama,Nicolas Bro David Dencik Claus Flygare Nicolo Donato Drama
25548,Ann Sothern,Zachary Scott,Gigi Perreau,Pat Jackson,Shadow on the Wall,Crime Drama Thriller,Ann Sothern Zachary Scott Gigi Perreau Pat Jackson Crime Drama Thriller
25549,Stephen McNally,Alexis Smith,Jan Sterling,Dick Powell,Split Second,Drama Thriller Crime,Stephen McNally Alexis Smith Jan Sterling Dick Powell Drama Thriller Crime
25550,Walter Pidgeon,John Hodiak,Audrey Totter,Gerald Mayer,The Sellout,Crime Drama,Walter Pidgeon John Hodiak Audrey Totter Gerald Mayer Crime Drama
25551,Adolphe Menjou,Arthur Franz,Gerald Mohr,Edward Dmytryk,The Sniper,Crime Drama Thriller,Adolphe Menjou Arthur Franz Gerald Mohr Edward Dmytryk Crime Drama Thriller
25553,Rod Taylor,Yvette Mimieux,Peter Carsten,Jack Cardiff,Dark of the Sun,Action Adventure Drama War,Rod Taylor Yvette Mimieux Peter Carsten Jack Cardiff Action Adventure Drama War
25556,John Ingle,Kenneth Mars,Miriam Flynn,Charles Grosvenor,The Land Before Time IX: Journey to the Big Water,Animation Family,John Ingle Kenneth Mars Miriam Flynn Charles Grosvenor Animation Family
25557,Donald Sutherland,Eric Thal,Julie Warner,Stuart Orme,The Puppet Masters,Horror Sci-Fi Thriller,Donald Sutherland Eric Thal Julie Warner Stuart Orme Horror Sci-Fi Thriller
25560,Elizabeth Taylor,Richard Burton,Cyril Cusack,Franco Zeffirelli,The Taming of the Shrew,Comedy Drama Romance,Elizabeth Taylor Richard Burton Cyril Cusack Franco Zeffirelli Comedy Drama Romance
25562,Sally Field,Kevin Kline,Robert Downey Jr.,Michael Hoffman,Soapdish,Comedy Drama Romance,Sally Field Kevin Kline Robert Downey Jr. Michael Hoffman Comedy Drama Romance
25563,Bette Davis,Humphrey Bogart,Lola Lane,Michael Curtiz Lloyd Bacon,Marked Woman,Drama Action Thriller Crime,Bette Davis Humphrey Bogart Lola Lane Michael Curtiz Lloyd Bacon Drama Action Thriller Crime
25564,Alan Ladd,Phyllis Calvert,Paul Stewart,Lewis Allen,Appointment with Danger,Crime Drama Thriller,Alan Ladd Phyllis Calvert Paul Stewart Lewis Allen Crime Drama Thriller
25566,James Cagney,Brad Dourif,Moses Gunn,Miloš Forman,Ragtime,Drama,James Cagney Brad Dourif Moses Gunn Miloš Forman Drama
25568,Walter Cronkite,David Leestma,George Nelson,Graeme Ferguson,The Dream Is Alive,Documentary,Walter Cronkite David Leestma George Nelson Graeme Ferguson Documentary
25571,Mark Dacascos,Kadeem Hardison,John Pyper-Ferguson,Steve Wang,Drive,Action Adventure Sci-Fi Comedy,Mark Dacascos Kadeem Hardison John Pyper-Ferguson Steve Wang Action Adventure Sci-Fi Comedy
25572,Joe Arpaio,Jello Biafra,Jeff Blackburn,Kevin Booth,American Drug War: The Last White Hope,Documentary,Joe Arpaio Jello Biafra Jeff Blackburn Kevin Booth Documentary
25583,Martina Haag,Nikolaj Coster-Waldau,Ellen Mattsson,Hannes Holm,Underbar och älskad av alla,Comedy,Martina Haag Nikolaj Coster-Waldau Ellen Mattsson Hannes Holm Comedy
25584,Måns Herngren,Felix Herngren,Cecilia Frode,Felix Herngren Måns Herngren Hannes Holm Hans Ingemarsson,Varannan vecka,Comedy Drama Romance,Måns Herngren Felix Herngren Cecilia Frode Felix Herngren Måns Herngren Hannes Holm Hans Ingemarsson Comedy Drama Romance
25587,John Ingle,Rob Paulsen,Thomas Dekker,Charles Grosvenor,The Land Before Time VIII: The Big Freeze,Adventure Animation Family,John Ingle Rob Paulsen Thomas Dekker Charles Grosvenor Adventure Animation Family
25594,Cuba Gooding Jr.,Harvey Keitel,Alex Meneses,Franck Khalfoun,Wrong Turn at Tahoe,Action Crime Drama Thriller,Cuba Gooding Jr. Harvey Keitel Alex Meneses Franck Khalfoun Action Crime Drama Thriller
25597,Chun Jung-myung,Eun Won-jae,Shim Eun-kyung,Yim Pil-sung,헨젤과 그레텔,Fantasy Drama Horror,Chun Jung-myung Eun Won-jae Shim Eun-kyung Yim Pil-sung Fantasy Drama Horror
25598,David Morse,Viggo Mortensen,Valeria Golino,Sean Penn,The Indian Runner,Drama,David Morse Viggo Mortensen Valeria Golino Sean Penn Drama
25599,Stan Laurel,Oliver Hardy,Sharon Lynn,James W. Horne,Way Out West,Comedy Western Music,Stan Laurel Oliver Hardy Sharon Lynn James W. Horne Comedy Western Music
25602,Scott Adkins,Todd Jensen,Tsuyoshi Ihara,Isaac Florentine,Ninja,Action Crime Drama Thriller,Scott Adkins Todd Jensen Tsuyoshi Ihara Isaac Florentine Action Crime Drama Thriller
25606,Paolo Villaggio,Liù Bosisio,Plinio Fernando,Luciano Salce,Fantozzi,Comedy,Paolo Villaggio Liù Bosisio Plinio Fernando Luciano Salce Comedy
25608,Maria Cina,Trish Doolan,Randall Batinkoff,Trish Doolan,April's Shower,Comedy Romance,Maria Cina Trish Doolan Randall Batinkoff Trish Doolan Comedy Romance
25610,Jimmy Smits,Marg Helgenberger,John Ashton,John Power,The Tommyknockers,Horror Sci-Fi,Jimmy Smits Marg Helgenberger John Ashton John Power Horror Sci-Fi
25623,Kimiko Ikegami,Yôko Minamida,Haruko Wanibuchi,Nobuhiko Ôbayashi,ハウス,Comedy Fantasy Horror,Kimiko Ikegami Yôko Minamida Haruko Wanibuchi Nobuhiko Ôbayashi Comedy Fantasy Horror
25624,Ving Rhames,Jon Voight,Don Cheadle,John Singleton,Rosewood,Drama History,Ving Rhames Jon Voight Don Cheadle John Singleton Drama History
25625,Divine,David Lochary,Mary Vivian Pearce,John Waters,Multiple Maniacs,Crime Comedy Horror,Divine David Lochary Mary Vivian Pearce John Waters Crime Comedy Horror
25626,Jackie Chan,Jet Li,Andy Lau,Han Sanping Huang Jianxin,建国大业,Drama,Jackie Chan Jet Li Andy Lau Han Sanping Huang Jianxin Drama
25627,Cristina Galbó,Ray Lovelock,Arthur Kennedy,Jorge Grau,Non si deve profanare il sonno dei morti,Horror Sci-Fi,Cristina Galbó Ray Lovelock Arthur Kennedy Jorge Grau Horror Sci-Fi
25628,Jack Palance,John Terry,Bernard Bresslaw,Terry Marcel,Hawk the Slayer,Fantasy Action Adventure Sci-Fi,Jack Palance John Terry Bernard Bresslaw Terry Marcel Fantasy Action Adventure Sci-Fi
25633,Robert Taylor,Cyd Charisse,Lee J. Cobb,Nicholas Ray,Party Girl,Crime Drama,Robert Taylor Cyd Charisse Lee J. Cobb Nicholas Ray Crime Drama
25636,Billy Crudup,Denis Leary,Jack Black,Alison Maclean,Jesus' Son,Comedy Drama Romance,Billy Crudup Denis Leary Jack Black Alison Maclean Comedy Drama Romance
25638,Rani Mukerji,Abhishek Bachchan,Jaya Bachchan,Pradeep Sarkar,Laaga Chunari Mein Daag,Drama Romance Foreign,Rani Mukerji Abhishek Bachchan Jaya Bachchan Pradeep Sarkar Drama Romance Foreign
25641,Albert Brooks,Leelee Sobieski,John Goodman,Christine Lahti,My First Mister,Comedy Drama Romance,Albert Brooks Leelee Sobieski John Goodman Christine Lahti Comedy Drama Romance
25643,Aaron Eckhart,Jennifer Aniston,Judy Greer,Brandon Camp,Love Happens,Drama Romance,Aaron Eckhart Jennifer Aniston Judy Greer Brandon Camp Drama Romance
25645,Michelle Yeoh,Donnie Yen,Waise Lee,Yuen Woo-ping,Wing Chun,Romance Action Comedy,Michelle Yeoh Donnie Yen Waise Lee Yuen Woo-ping Romance Action Comedy
25646,Hector Echavarria,Tanya Clarke,Nick Mancuso,Bill Corcoran,Death Warrior,Action Thriller,Hector Echavarria Tanya Clarke Nick Mancuso Bill Corcoran Action Thriller
25647,Chang Chen,Ha Jung-woo,Park Ji-ah ,Kim Ki-duk,숨,Crime Drama,Chang Chen Ha Jung-woo Park Ji-ah  Kim Ki-duk Crime Drama
25648,Park Ji-yeon,Ha Jung-woo,Kim Sung-min,Kim Ki-duk,시간,Romance Drama Mystery,Park Ji-yeon Ha Jung-woo Kim Sung-min Kim Ki-duk Romance Drama Mystery
25649,Jo Jae-hyeon,Seo Won,Yun-tae Kim,Kim Ki-duk,나쁜 남자,Drama Thriller Romance,Jo Jae-hyeon Seo Won Yun-tae Kim Kim Ki-duk Drama Thriller Romance
25650,Yang Dong-geun,Min-jung Ban,Kim Young-min,Kim Ki-duk,수취인불명,Drama Foreign,Yang Dong-geun Min-jung Ban Kim Young-min Kim Ki-duk Drama Foreign
25651,Joo Jin-Mo,Jin-ah Kim,Son Min-seok,Kim Ki-duk Ahn Sang-hyeon Heo Seong-wook Hong Mi-sook,실제상황,Thriller,Joo Jin-Mo Jin-ah Kim Son Min-seok Kim Ki-duk Ahn Sang-hyeon Heo Seong-wook Hong Mi-sook Thriller
25652,Jo Jae-hyeon,Jeon Mu-song,Woo Yun-Kyeong,Kim Ki-duk,악어,Drama,Jo Jae-hyeon Jeon Mu-song Woo Yun-Kyeong Kim Ki-duk Drama
25653,Jo Jae-hyeon,Jang Dong-jik,Ryun Jang,Kim Ki-duk,야생동물 보호구역,Comedy Crime Drama,Jo Jae-hyeon Jang Dong-jik Ryun Jang Kim Ki-duk Comedy Crime Drama
25655,Sammo Hung,Simon Yam,Tien Niu,Dennis Law,Duo shuai,Action Crime,Sammo Hung Simon Yam Tien Niu Dennis Law Action Crime
25656,Satomi Kobayashi,Mikako Ichikawa,Ryo Kase,Naoko Ogigami,めがね,Comedy Foreign,Satomi Kobayashi Mikako Ichikawa Ryo Kase Naoko Ogigami Comedy Foreign
25657,Satomi Kobayashi,Masako Motai,Hairi Katagiri,Naoko Ogigami,かもめ食堂,Drama Comedy,Satomi Kobayashi Masako Motai Hairi Katagiri Naoko Ogigami Drama Comedy
25659,YosiYosi Arakawa,Yoshino Kimura,Yoshinori Okada,Yosuke Fujita,Zenzen daijobu,Comedy Drama,YosiYosi Arakawa Yoshino Kimura Yoshinori Okada Yosuke Fujita Comedy Drama
25660,Park Joong-hoon,Ahn Sung-Ki,Jang Dong-gun,Lee Myung-Se,인정사정 볼 것 없다,Action Comedy Crime,Park Joong-hoon Ahn Sung-Ki Jang Dong-gun Lee Myung-Se Action Comedy Crime
25664,Louis Koo,Aaron Kwok,Cherrie Ying,Johnnie To,柔道龍虎榜,Drama Action,Louis Koo Aaron Kwok Cherrie Ying Johnnie To Drama Action
25666,Henry Thomas,Tony Barry,Rachel Friend,Brian Trenchard-Smith,Frog Dreaming,Drama Adventure Family,Henry Thomas Tony Barry Rachel Friend Brian Trenchard-Smith Drama Adventure Family
25667,Svetlana Khodchenkova,Lesław Żurek,Aleksey Gorbunov,Waldemar Krzystek,Mała Moskwa,Drama,Svetlana Khodchenkova Lesław Żurek Aleksey Gorbunov Waldemar Krzystek Drama
25670,Joel McCrea,Laraine Day,Herbert Marshall,Alfred Hitchcock,Foreign Correspondent,Mystery Thriller War,Joel McCrea Laraine Day Herbert Marshall Alfred Hitchcock Mystery Thriller War
25672,Paul Henreid,Joan Bennett,Eduard Franz,Steve Sekely,Hollow Triumph,Thriller Crime,Paul Henreid Joan Bennett Eduard Franz Steve Sekely Thriller Crime
25673,Montgomery Clift,Elizabeth Taylor,Shelley Winters,George Stevens,A Place in the Sun,Drama Romance,Montgomery Clift Elizabeth Taylor Shelley Winters George Stevens Drama Romance
25674,John Travolta,Jamie Walters,Heather Graham,Jeffrey Hornaday,Shout,Drama Romance,John Travolta Jamie Walters Heather Graham Jeffrey Hornaday Drama Romance
25676,Jackie Chan,Louis Koo,Michael Hui,Benny Chan,Bo bui gai wak,Drama Action Comedy,Jackie Chan Louis Koo Michael Hui Benny Chan Drama Action Comedy
25678,Michael Dudikoff,Steve James,Larry Poindexter,Sam Firstenberg,American Ninja 2: The Confrontation,Action Adventure Drama,Michael Dudikoff Steve James Larry Poindexter Sam Firstenberg Action Adventure Drama
25680,Robert Mitchum,Peter Boyle,Richard Jordan,Peter Yates,The Friends of Eddie Coyle,Crime Drama,Robert Mitchum Peter Boyle Richard Jordan Peter Yates Crime Drama
25682,David Bradley,Steve James,Marjoe Gortner,Cedric Sundstrom,American Ninja 3: Blood Hunt,Action Adventure Drama,David Bradley Steve James Marjoe Gortner Cedric Sundstrom Action Adventure Drama
25684,David Bradley,Lee Reyes,Anne Dupont,Bobby Gene Leonard,American Ninja 5,Action Thriller,David Bradley Lee Reyes Anne Dupont Bobby Gene Leonard Action Thriller
25688,Dick Powell,Lizabeth Scott,Jane Wyatt,André De Toth,Pitfall,Thriller Crime Drama,Dick Powell Lizabeth Scott Jane Wyatt André De Toth Thriller Crime Drama
25690,Matthew Modine,Claudia Schiffer,Dennis Hopper,Abel Ferrara,The Blackout,Drama Mystery Thriller,Matthew Modine Claudia Schiffer Dennis Hopper Abel Ferrara Drama Mystery Thriller
25693,Tammin Sursok,Christopher Irvine,Richard Christy,Joe Anderson Sean McEwen,Albino Farm,Horror,Tammin Sursok Christopher Irvine Richard Christy Joe Anderson Sean McEwen Horror
25694,Charlotte Henry,Richard Arlen,Roscoe Ates,Norman Z. McLeod,Alice in Wonderland,Action Adventure Family Fantasy Sci-Fi,Charlotte Henry Richard Arlen Roscoe Ates Norman Z. McLeod Action Adventure Family Fantasy Sci-Fi
25695,Kim Mi-hyang,Kim Hee-yeon,Kim Seong-hee,So Yong Kim,나무없는 산,Comedy Drama Foreign,Kim Mi-hyang Kim Hee-yeon Kim Seong-hee So Yong Kim Comedy Drama Foreign
25697,Jack Lemmon,Dan Aykroyd,Bonnie Hunt,Harvey Miller,Getting Away with Murder,Comedy,Jack Lemmon Dan Aykroyd Bonnie Hunt Harvey Miller Comedy
25698,Judy Garland,Van Johnson,Spring Byington,Buster Keaton Robert Z. Leonard,In the Good Old Summertime,Comedy Music Romance,Judy Garland Van Johnson Spring Byington Buster Keaton Robert Z. Leonard Comedy Music Romance
25699,Carl-Gustaf Lindstedt,Sven Wollter,Thomas Hellberg,Bo Widerberg,Mannen på taket,Thriller Action Crime Drama,Carl-Gustaf Lindstedt Sven Wollter Thomas Hellberg Bo Widerberg Thriller Action Crime Drama
25704,Alexis Bledel,Zach Gilford,Rodrigo Santoro,Vicky Jenson,Post Grad,Comedy,Alexis Bledel Zach Gilford Rodrigo Santoro Vicky Jenson Comedy
25706,Andrew Dice Clay,Teri Hatcher,Yuji Okumoto,Albert Pyun,Brain Smasher... A Love Story,Action Comedy,Andrew Dice Clay Teri Hatcher Yuji Okumoto Albert Pyun Action Comedy
25707,Armand Assante,Sonny Marinelli,Raffaello Degruttola,John Irvin,Dot.Kill,Thriller Crime,Armand Assante Sonny Marinelli Raffaello Degruttola John Irvin Thriller Crime
25713,Marc Blucas,Naveen Andrews,Nicki Aycox,Douglas Aarniokoski,Animals,Horror Thriller,Marc Blucas Naveen Andrews Nicki Aycox Douglas Aarniokoski Horror Thriller
25716,Shun Oguri,Takayuki Yamada,Kenta Kiritani,Takashi Miike,クローズ ZERO II,Action Comedy Thriller,Shun Oguri Takayuki Yamada Kenta Kiritani Takashi Miike Action Comedy Thriller
25719,Dan Futterman,Stuart Townsend,Kate Beckinsale,Stefan Schwartz,Shooting Fish,Crime Comedy Romance,Dan Futterman Stuart Townsend Kate Beckinsale Stefan Schwartz Crime Comedy Romance
25720,Michael Caine,James Fox,Nigel Havers,Simon Langton,The Whistle Blower,Action Thriller,Michael Caine James Fox Nigel Havers Simon Langton Action Thriller
25722,Diana Dors,Rod Steiger,Tom Tryon,John Farrow,The Unholy Wife,Thriller,Diana Dors Rod Steiger Tom Tryon John Farrow Thriller
25723,Paul Rudd,Christine Taylor,Reese Witherspoon,Jason Bloom,Overnight Delivery,Comedy Romance,Paul Rudd Christine Taylor Reese Witherspoon Jason Bloom Comedy Romance
25727,Sasa Handa,Yuria Hidaka,Ayumu Tokitô,Kôji Kawano,Joshikyôei hanrangun,Action Horror,Sasa Handa Yuria Hidaka Ayumu Tokitô Kôji Kawano Action Horror
25728,Broderick Crawford,Betty Buehler,Richard Kiley,Robert Parrish,The Mob,Crime,Broderick Crawford Betty Buehler Richard Kiley Robert Parrish Crime
25735,Barry Sullivan,Belita,Joan Lorring,Gordon Wiles,The Gangster,Crime,Barry Sullivan Belita Joan Lorring Gordon Wiles Crime
25736,Lana Turner,John Garfield,Cecil Kellaway,Tay Garnett,The Postman Always Rings Twice,Crime Drama Thriller,Lana Turner John Garfield Cecil Kellaway Tay Garnett Crime Drama Thriller
25738,John Garfield,Shelley Winters,Wallace Ford,John Berry,He Ran All The Way,Drama Crime,John Garfield Shelley Winters Wallace Ford John Berry Drama Crime
25739,Michel Serrault,Claudine Auger,Catherine Alric,René Gainville,L'associé,Comedy,Michel Serrault Claudine Auger Catherine Alric René Gainville Comedy
25740,Gary Busey,John Cusack,Benicio del Toro,Tom Thurman,"Buy the Ticket, Take the Ride",Documentary,Gary Busey John Cusack Benicio del Toro Tom Thurman Documentary
25741,Olli Jantunen,Hannu-Pekka Björkman,Vuokko Hovatta,Michael Henger Kari Juusonen,Niko: Lentäjän poika,Animation Family Adventure Drama Fantasy,Olli Jantunen Hannu-Pekka Björkman Vuokko Hovatta Michael Henger Kari Juusonen Animation Family Adventure Drama Fantasy
25744,Eriko Satô,Haruhiko Katô,Chiharu Kawai,Kôji Shiraishi,口裂け女,Horror,Eriko Satô Haruhiko Katô Chiharu Kawai Kôji Shiraishi Horror
25745,Matt Cameron,Chris Duppenthaler,Justin MacGregor,Matt Vancil,The Gamers,Action Comedy Thriller Foreign,Matt Cameron Chris Duppenthaler Justin MacGregor Matt Vancil Action Comedy Thriller Foreign
25746,Mirai Shida,Tadanobu Asano,Chieko Baishô,Yôji Yamada,母べえ,Family Drama,Mirai Shida Tadanobu Asano Chieko Baishô Yôji Yamada Family Drama
25747,Lee Chun-hee,Cha Soo-yeon,Choi Moo-seong,Juhn Jai-hong,아름답다,Drama Thriller Mystery Foreign,Lee Chun-hee Cha Soo-yeon Choi Moo-seong Juhn Jai-hong Drama Thriller Mystery Foreign
25748,Terence Knox,Paul Scherrer,Ryan Bollman,David Price,Children of the Corn II: The Final Sacrifice,Horror,Terence Knox Paul Scherrer Ryan Bollman David Price Horror
25749,Daniel Cerny,Ron Melendez,Jim Metzler,James D.R. Hickox,Children of the Corn III: Urban Harvest,Thriller Horror,Daniel Cerny Ron Melendez Jim Metzler James D.R. Hickox Thriller Horror
25750,Naomi Watts,Jamie Renée Smith,Karen Black,Greg Spence,Children of the Corn IV: The Gathering,Horror,Naomi Watts Jamie Renée Smith Karen Black Greg Spence Horror
